attractive_score,uid
0.17097599804401398,33
0.44107699394226074,44
0.22628599405288696,53
0.6424829959869385,74
0.6513760089874268,94
0.7526940107345581,115
0.680741012096405,135
0.3141680061817169,143
0.19677400588989258,165
0.29256999492645264,175
0.589743971824646,185
0.6674469709396362,193
0.21232900023460388,215
0.3860830068588257,224
0.04983390122652054,243
0.4544140100479126,265
0.5864080190658569,274
0.2581520080566406,283
0.4355260133743286,295
0.4877380132675171,303
0.14197500050067902,324
0.07692310214042664,334
0.09865470230579376,364
0.19777199625968933,373
0.24772700667381287,404
0.25,424
0.5010179877281189,434
0.6795629858970642,474
0.06410259753465652,495
0.751380980014801,504
0.5396270155906677,533
0.5712190270423889,554
0.326445996761322,564
0.578125,575
0.22371600568294525,584
0.12707200646400452,594
0.7718939781188965,604
0.1150439977645874,623
0.03999999910593033,654
0.09905660152435303,675
0.6315789818763733,695
0.269571989774704,705
0.47993800044059753,743
0.5703539848327637,765
0.12698400020599365,785
0.17333300411701202,804
0.8203700184822083,43
0.23283599317073822,65
0.7216929793357849,73
0.6566849946975708,85
0.520907998085022,93
0.32407400012016296,114
0.07792209833860397,125
0.2605629861354828,134
0.4444440007209778,154
0.16878999769687653,164
0.45899200439453125,174
0.07366479933261871,184
0.31193700432777405,205
0.1867469996213913,214
0.20904000103473663,813
0.5205879807472229,823
0.5921779870986938,843
0.5733960270881653,865
0.20987699925899506,875
0.7114719748497009,884
0.7777780294418335,894
0.3043479919433594,913
0.045044999569654465,223
0.5518760085105896,255
0.5890740156173706,264
0.7375890016555786,273
0.7622770071029663,294
0.6574640274047852,315
0.6591089963912964,993
0.36742401123046875,1003
0.11447799950838089,1015
0.286190003156662,333
0.5442360043525696,355
0.08658009767532349,363
0.28764501214027405,403
0.0441989004611969,414
0.25,423
0.17699100077152252,1044
0.14285700023174286,1064
0.08955220133066177,1073
0.4953469932079315,1084
0.13392899930477142,445
0.4156379997730255,454
0.4662860035896301,483
0.23893800377845764,493
0.6075090169906616,503
0.21376800537109375,515
0.10219000279903412,1104
0.08163270354270935,1125
0.32450300455093384,1135
0.09812109917402267,1143
0.6722130179405212,544
0.5981550216674805,553
0.06737589836120605,563
0.44864898920059204,573
0.18435800075531006,593
0.17647099494934082,603
0.5263159871101379,635
0.09154929965734482,1163
0.578245997428894,1173
0.5350549817085266,1214
0.21666699647903442,1223
0.5723829865455627,1233
0.5851060152053833,1264
0.3544969856739044,1284
0.5336880087852478,653
0.3431519865989685,663
0.05099150165915489,674
0.04678360000252724,685
0.48804500699043274,694
0.5848209857940674,704
0.10204099863767624,715
0.025714300572872162,774
0.1189429983496666,1305
0.6261330246925354,1314
0.45199400186538696,1323
0.75239098072052,1335
0.6473990082740784,1345
0.5724509954452515,783
0.7059999704360962,795
0.049645401537418365,803
0.5422890186309814,835
0.19074499607086182,854
0.6284019947052002,864
0.040856000036001205,874
0.1563979983329773,1384
0.27230599522590637,1404
0.5296549797058105,1413
0.684211015701294,1433
0.28191500902175903,1445
0.057671401649713516,1474
0.34512001276016235,1483
0.39917701482772827,1505
0.22838500142097473,1524
0.04044939950108528,883
0.5906180143356323,893
0.05394190177321434,905
0.4740299880504608,925
0.570248007774353,965
0.7353730201721191,975
0.05752209946513176,984
0.7979320287704468,1534
0.2636359930038452,1543
0.33951300382614136,1554
0.07742320001125336,1565
0.16279099881649017,1573
0.037344399839639664,1023
0.059701498597860336,1043
0.06986899673938751,1055
0.167044997215271,1063
0.048034898936748505,1603
0.7855960130691528,1624
0.09090910106897354,1655
0.1909089982509613,1663
0.08095239847898483,1083
0.24598899483680725,1103
0.6726459860801697,1115
0.16336600482463837,1124
0.12883399426937103,1703
0.1346150040626526,1714
0.5602759718894958,1735
0.06790120154619217,1134
0.019047599285840988,1153
0.16981099545955658,1185
0.5889570116996765,1195
0.384880006313324,1213
0.5994240045547485,1245
0.041666701436042786,1263
0.04545449838042259,1744
0.26590898633003235,1753
0.33173099160194397,1774
0.23232300579547882,1785
0.23165999352931976,1803
0.42156898975372314,1813
0.07171309739351273,1823
0.16491200029850006,1275
0.35326099395751953,1283
0.47651800513267517,1293
0.5509499907493591,1304
0.6716319918632507,1313
0.11673200130462646,1884
0.6096349954605103,1893
0.175478994846344,1334
0.23962299525737762,1344
0.058962300419807434,1365
0.6955699920654297,1375
0.04069770127534866,1945
0.6047090291976929,1955
0.38922199606895447,1964
0.671949028968811,1973
0.06986899673938751,1403
0.43044599890708923,1425
0.12132400274276733,1444
0.6205289959907532,1455
0.5114679932594299,1473
0.13422800600528717,2005
0.8117740154266357,2014
0.07317069917917252,2024
0.06800000369548798,2035
0.19811299443244934,2053
0.4811759889125824,1495
0.14695900678634644,1504
0.5286459922790527,1523
0.24948500096797943,1533
0.035302601754665375,2074
0.058461498469114304,2125
0.4794520139694214,1564
0.5129650235176086,1585
0.09933040291070938,1594
0.5,1615
0.44961199164390564,1623
0.7554810047149658,1653
0.6082680225372314,1675
0.26926499605178833,1685
0.3868130147457123,2133
0.7977269887924194,2153
0.4610779881477356,2165
0.16216200590133667,2194
0.46013298630714417,2235
0.09878049790859222,2245
0.5248039960861206,2254
0.5449950098991394,2265
0.08212559670209885,2273
0.11864399909973145,1713
0.27020201086997986,1734
0.15891499817371368,1743
0.352975994348526,1773
0.6393439769744873,1784
0.4548740088939667,2304
0.596684992313385,2314
0.041666701436042786,2334
0.0882352963089943,2373
0.7831540107727051,1883
0.7210680246353149,1905
0.05084750056266785,2385
0.27717798948287964,2394
0.08818010240793228,2415
0.1243240013718605,2423
0.0546737015247345,2444
0.3019610047340393,1925
0.22513100504875183,1935
0.702226996421814,1944
0.15810300409793854,1954
0.07109010219573975,1963
0.15769200026988983,2453
0.20336900651454926,2463
0.5185189843177795,2474
0.6786739826202393,2503
0.09022559970617294,2523
0.8091740012168884,1994
0.26218101382255554,2004
0.6663690209388733,2013
0.3883500099182129,2034
0.05917159840464592,2535
0.23350299894809723,2554
0.03515620157122612,2565
0.2816089987754822,2585
0.03999999910593033,2094
0.5765939950942993,2114
0.6865910291671753,2123
0.06730770319700241,2605
0.15894000232219696,2653
0.20277799665927887,2145
0.10439600050449371,2163
